sentence,answer,name1,name2,verb,object,original_prediction,ablated_prediction,outcome,top_head_1,top_fallback_head_1,grammatical_number
"When Tom and Sarah went to the store, Tom gave the balls to", Sarah,Tom,Sarah,gave,the balls, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Tom and Sarah went to the store, Tom gave the cakes to", Sarah,Tom,Sarah,gave,the cakes, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Tom and Sarah went to the store, Tom gave the letters to", Sarah,Tom,Sarah,gave,the letters, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Tom and Sarah went to the store, Tom gave the drinks to", Sarah,Tom,Sarah,gave,the drinks, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Tom and Sarah went to the store, Tom gave the keys to", Sarah,Tom,Sarah,gave,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Tom and Sarah went to the store, Tom handed the balls to", Sarah,Tom,Sarah,handed,the balls, Sarah, them,pronoun_fallback,"(9, 9)","(11, 8)",plural
"When Tom and Sarah went to the store, Tom handed the cakes to", Sarah,Tom,Sarah,handed,the cakes, Sarah, them,pronoun_fallback,"(9, 9)","(11, 8)",plural
"When Tom and Sarah went to the store, Tom handed the letters to", Sarah,Tom,Sarah,handed,the letters, Sarah, them,pronoun_fallback,"(9, 9)","(11, 8)",plural
"When Tom and Sarah went to the store, Tom handed the drinks to", Sarah,Tom,Sarah,handed,the drinks, Sarah, them,pronoun_fallback,"(9, 9)","(8, 3)",plural
"When Tom and Sarah went to the store, Tom handed the keys to", Sarah,Tom,Sarah,handed,the keys, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Tom and Sarah went to the store, Tom passed the balls to", Sarah,Tom,Sarah,passed,the balls, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Tom and Sarah went to the store, Tom passed the cakes to", Sarah,Tom,Sarah,passed,the cakes, Sarah, his,determiner_or_possessive_fallback,"(9, 9)","(9, 7)",plural
"When Tom and Sarah went to the store, Tom passed the letters to", Sarah,Tom,Sarah,passed,the letters, Sarah, them,pronoun_fallback,"(9, 9)","(10, 9)",plural
"When Tom and Sarah went to the store, Tom passed the drinks to", Sarah,Tom,Sarah,passed,the drinks, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Tom and Sarah went to the store, Tom passed the keys to", Sarah,Tom,Sarah,passed,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Tom and Sarah went to the store, Tom brought the balls to", Sarah,Tom,Sarah,brought,the balls, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Tom and Sarah went to the store, Tom brought the cakes to", Sarah,Tom,Sarah,brought,the cakes, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Tom and Sarah went to the store, Tom brought the letters to", Sarah,Tom,Sarah,brought,the letters, Sarah, them,pronoun_fallback,"(9, 9)","(10, 9)",plural
"When Tom and Sarah went to the store, Tom brought the drinks to", Sarah,Tom,Sarah,brought,the drinks, them, them,pronoun_fallback,"(9, 9)","(10, 9)",plural
"When Tom and Sarah went to the store, Tom brought the keys to", Sarah,Tom,Sarah,brought,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)",plural
"When Tom and Sarah went to the store, Tom tossed the balls to", Sarah,Tom,Sarah,tossed,the balls, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Tom and Sarah went to the store, Tom tossed the cakes to", Sarah,Tom,Sarah,tossed,the cakes, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Tom and Sarah went to the store, Tom tossed the letters to", Sarah,Tom,Sarah,tossed,the letters, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
