sentence,answer,name1,name2,verb,object,original_prediction,ablated_prediction,outcome,top_head_1,top_fallback_head_1
"When Tom and Sarah went to the store, Tom gave the ball to", Sarah,Tom,Sarah,gave,the ball, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Tom and Sarah went to the store, Tom gave the keys to", Sarah,Tom,Sarah,gave,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Tom and Sarah went to the store, Tom gave the drink to", Sarah,Tom,Sarah,gave,the drink, Sarah, them,pronoun_fallback,"(9, 9)","(8, 3)"
"When Tom and Sarah went to the store, Tom gave the cake to", Sarah,Tom,Sarah,gave,the cake, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Tom and Sarah went to the store, Tom gave the letter to", Sarah,Tom,Sarah,gave,the letter, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Tom and Sarah went to the store, Tom handed the ball to", Sarah,Tom,Sarah,handed,the ball, Sarah, them,pronoun_fallback,"(9, 9)","(11, 8)"
"When Tom and Sarah went to the store, Tom handed the keys to", Sarah,Tom,Sarah,handed,the keys, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Tom and Sarah went to the store, Tom handed the drink to", Sarah,Tom,Sarah,handed,the drink, Sarah, them,pronoun_fallback,"(9, 9)","(8, 3)"
"When Tom and Sarah went to the store, Tom handed the cake to", Sarah,Tom,Sarah,handed,the cake, Sarah, them,pronoun_fallback,"(9, 9)","(11, 8)"
"When Tom and Sarah went to the store, Tom handed the letter to", Sarah,Tom,Sarah,handed,the letter, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Tom and Sarah went to the store, Tom passed the ball to", Sarah,Tom,Sarah,passed,the ball, Sarah, his,determiner_or_possessive_fallback,"(9, 9)","(11, 7)"
"When Tom and Sarah went to the store, Tom passed the keys to", Sarah,Tom,Sarah,passed,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Tom and Sarah went to the store, Tom passed the drink to", Sarah,Tom,Sarah,passed,the drink, Sarah, them,pronoun_fallback,"(9, 9)","(8, 3)"
"When Tom and Sarah went to the store, Tom passed the cake to", Sarah,Tom,Sarah,passed,the cake, Sarah, his,determiner_or_possessive_fallback,"(9, 9)","(9, 7)"
"When Tom and Sarah went to the store, Tom passed the letter to", Sarah,Tom,Sarah,passed,the letter, Sarah, his,determiner_or_possessive_fallback,"(9, 9)","(9, 7)"
"When Tom and Sarah went to the store, Tom brought the ball to", Sarah,Tom,Sarah,brought,the ball, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Tom and Sarah went to the store, Tom brought the keys to", Sarah,Tom,Sarah,brought,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)"
"When Tom and Sarah went to the store, Tom brought the drink to", Sarah,Tom,Sarah,brought,the drink, them, them,pronoun_fallback,"(9, 9)","(10, 9)"
"When Tom and Sarah went to the store, Tom brought the cake to", Sarah,Tom,Sarah,brought,the cake, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Tom and Sarah went to the store, Tom brought the letter to", Sarah,Tom,Sarah,brought,the letter, Sarah, them,pronoun_fallback,"(9, 9)","(11, 8)"
"When Tom and Sarah went to the store, Tom tossed the ball to", Sarah,Tom,Sarah,tossed,the ball, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Tom and Sarah went to the store, Tom tossed the keys to", Sarah,Tom,Sarah,tossed,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)"
"When Tom and Sarah went to the store, Tom tossed the drink to", Sarah,Tom,Sarah,tossed,the drink, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Tom and Sarah went to the store, Tom tossed the cake to", Sarah,Tom,Sarah,tossed,the cake, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Tom and Sarah went to the store, Tom tossed the letter to", Sarah,Tom,Sarah,tossed,the letter, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Alice and Bob went to the store, Alice gave the ball to", Bob,Alice,Bob,gave,the ball, Bob, Bob,backup_rescue,"(9, 9)","(10, 2)"
"When Alice and Bob went to the store, Alice gave the keys to", Bob,Alice,Bob,gave,the keys, Bob, Bob,backup_rescue,"(9, 9)","(11, 2)"
"When Alice and Bob went to the store, Alice gave the drink to", Bob,Alice,Bob,gave,the drink, Bob, Bob,backup_rescue,"(9, 9)","(10, 6)"
"When Alice and Bob went to the store, Alice gave the cake to", Bob,Alice,Bob,gave,the cake, Bob, Bob,backup_rescue,"(9, 9)","(10, 6)"
"When Alice and Bob went to the store, Alice gave the letter to", Bob,Alice,Bob,gave,the letter, Bob, Bob,backup_rescue,"(9, 9)","(10, 2)"
"When Alice and Bob went to the store, Alice handed the ball to", Bob,Alice,Bob,handed,the ball, Bob, Bob,backup_rescue,"(9, 9)","(10, 2)"
"When Alice and Bob went to the store, Alice handed the keys to", Bob,Alice,Bob,handed,the keys, Bob, Bob,backup_rescue,"(9, 9)","(10, 6)"
"When Alice and Bob went to the store, Alice handed the drink to", Bob,Alice,Bob,handed,the drink, Bob, Bob,backup_rescue,"(9, 9)","(10, 2)"
"When Alice and Bob went to the store, Alice handed the cake to", Bob,Alice,Bob,handed,the cake, Bob, Bob,backup_rescue,"(9, 9)","(10, 2)"
"When Alice and Bob went to the store, Alice handed the letter to", Bob,Alice,Bob,handed,the letter, Bob, Bob,backup_rescue,"(9, 9)","(10, 2)"
"When Alice and Bob went to the store, Alice passed the ball to", Bob,Alice,Bob,passed,the ball, Bob, Bob,backup_rescue,"(9, 9)","(10, 2)"
"When Alice and Bob went to the store, Alice passed the keys to", Bob,Alice,Bob,passed,the keys, Bob, Bob,backup_rescue,"(9, 9)","(11, 2)"
"When Alice and Bob went to the store, Alice passed the drink to", Bob,Alice,Bob,passed,the drink, Bob, Bob,backup_rescue,"(9, 9)","(10, 0)"
"When Alice and Bob went to the store, Alice passed the cake to", Bob,Alice,Bob,passed,the cake, Bob, Bob,backup_rescue,"(9, 9)","(11, 2)"
"When Alice and Bob went to the store, Alice passed the letter to", Bob,Alice,Bob,passed,the letter, Bob, Bob,backup_rescue,"(9, 9)","(10, 2)"
"When Alice and Bob went to the store, Alice brought the ball to", Bob,Alice,Bob,brought,the ball, Bob, her,determiner_or_possessive_fallback,"(9, 9)","(9, 7)"
"When Alice and Bob went to the store, Alice brought the keys to", Bob,Alice,Bob,brought,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Alice and Bob went to the store, Alice brought the drink to", Bob,Alice,Bob,brought,the drink, Bob, her,determiner_or_possessive_fallback,"(9, 9)","(9, 7)"
"When Alice and Bob went to the store, Alice brought the cake to", Bob,Alice,Bob,brought,the cake, Bob, her,determiner_or_possessive_fallback,"(9, 9)","(9, 7)"
"When Alice and Bob went to the store, Alice brought the letter to", Bob,Alice,Bob,brought,the letter, Bob, her,determiner_or_possessive_fallback,"(9, 9)","(9, 7)"
